node_id,collab_count,total_movies,avg_revenue,avg_rating,director_degree,actor_degree,total_films,duck_avg_revenue,avg_budget,duck_avg_rating,avg_runtime,top_language,top_genre,high_roi
Martin Scorsese,3,3,271581402.67,7.97,14,21,14,247524742.07,64392857.14,7.44,112.64,en,"['Drama', 'Thriller', 'Mystery']",1
Alejandro G. Iñárritu,2,2,273038762.5,8.0,5,21,5,247826179.0,50520000.0,7.7,116.6,en,"['Western', 'Drama', 'Adventure']",0
Christopher Nolan,4,4,918848902.25,8.5,15,19,15,542548567.27,108613333.33,8.02,132.67,en,"['Action', 'Science Fiction', 'Adventure']",1
Guy Ritchie,2,2,23632049.5,7.55,12,8,12,285643247.67,89750000.0,7.12,122.42,en,"['Drama', 'Romance']",0
Steven Soderbergh,2,2,264969274.0,6.2,13,12,13,115352329.0,31446153.85,6.68,106.77,en,['Comedy'],1
Robert Schwentke,2,2,89078272.0,6.1,7,12,7,246599524.29,75500000.0,6.81,110.0,en,"['Adventure', 'Fantasy', 'Romance', 'Family']",0
"Anthony Russo, Joe Russo",3,3,1855727203.67,8.17,3,4,3,1855727203.67,275333333.33,8.17,155.33,en,"['Adventure', 'Action', 'Science Fiction']",1
David Fincher,2,2,218328269.5,8.3,9,23,9,234262451.67,67333333.33,7.77,127.22,en,['Drama'],0
James Gunn,2,2,818266325.5,7.8,6,2,6,562239374.5,134166666.67,7.13,123.17,en,"['Action', 'Science Fiction', 'Adventure']",1
Robert Zemeckis,2,2,826931633.0,8.8,15,35,15,394051473.27,75066666.67,7.4,113.53,en,"['Drama', 'Romance']",1
George Lucas,2,2,677308394.0,8.05,3,35,3,771005596.0,195666666.67,7.97,150.67,en,"['Adventure', 'Fantasy', 'Action']",1
Baran bo Odar,2,2,3671910.0,5.6,5,6,5,28292038.8,31590000.0,6.44,110.2,en,"['Action', 'Adventure', 'Comedy', 'Drama', 'Mystery']",0
Peter Jackson,3,3,972181581.0,8.8,11,11,11,468729373.64,72181818.18,7.73,138.64,en,"['Adventure', 'Fantasy', 'Action']",1
Alfonso Cuarón,2,2,619565586.0,7.9,8,8,8,406687954.0,92275000.0,7.2,111.13,en,"['Adventure', 'Fantasy']",1
