node_id,pagerank,community
Steven Spielberg,11.846627778629689,4666
Ridley Scott,9.054266877241435,4666
Tim Burton,8.368970230097837,5033
Woody Allen,7.484610360719665,5181
John Carpenter,6.903256116834849,5387
Robert Zemeckis,6.545676394550389,2163
Ron Howard,6.430337635244657,2163
Christopher Nolan,6.267127853878581,2666
Paul W.S. Anderson,6.045416735953588,3282
Richard Donner,6.026616182671917,4948
Martin Scorsese,5.821171393688631,3395
Wes Anderson,5.796235563172956,2986
M. Night Shyamalan,5.670815355752194,4685
Kenneth Branagh,5.67024712387553,3433
Lasse Hallström,5.593201140646258,3282
Richard Linklater,5.364899225728072,3478
Shawn Levy,5.31756476223976,3282
Roland Emmerich,5.25332070146192,4948
Clint Eastwood,5.249967061932802,3212
Guy Ritchie,5.027474165667572,3395
Steven Soderbergh,4.9607698593865575,4663
Jon Favreau,4.6013152561036,3123
Michael Bay,4.552028184469632,5139
Peter Jackson,4.524322003913466,1280
Antoine Fuqua,4.433293624529058,2163
Guillermo del Toro,4.358731601078299,5181
Pedro Almodóvar,4.311091262752695,4903
Doug Liman,4.26305478226597,4685
Bryan Singer,4.158105685991652,4666
James Wan,4.1268515723867365,2163
George A. Romero,4.075191181734281,3433
Joel Schumacher,4.021748636553664,1808
Dennis Dugan,4.014999536454982,4705
F. Gary Gray,3.9716489514193056,1292
Tim Story,3.9425385122923164,3123
David Lynch,3.931040804375321,5139
David Cronenberg,3.8668541571405086,1280
Paul Thomas Anderson,3.8398822979647553,5181
David Fincher,3.786186623906689,1292
Rob Marshall,3.721460598265036,3478
Chris Columbus,3.6700054708262924,1220
Brian De Palma,3.6609753049774634,1292
Ivan Reitman,3.6180549644967313,4948
James Mangold,3.607172704166901,5034
Alfonso Cuarón,3.588637179224394,3478
Gore Verbinski,3.4557604822695147,4666
Jon Turteltaub,3.450568383571875,5034
Joe Wright,3.399013991049418,5139
Adrian Lyne,3.36831506920092,2132
David Gordon Green,3.351286620945068,3500
Joe Johnston,3.347228812159379,2666
Quentin Tarantino,3.341683498507473,1292
Sam Mendes,3.3398157726362268,3212
Marcus Nispel,3.3015057198048665,5139
Todd Phillips,3.2975165643212043,3163
Mike Newell,3.29107623872959,2666
Robert Schwentke,3.2729162111838805,4663
Francis Lawrence,3.2643376048531163,2666
George Clooney,3.2561400687714412,5034
Brett Ratner,3.217473159054866,3282
Barry Sonnenfeld,3.2152133876959406,1280
Tom Shadyac,3.1726695186111127,2986
Danny Boyle,3.150395473880884,1509
Martin Campbell,3.1468046596992747,2132
Jay Roach,3.14363715422225,5139
Jason Reitman,3.1433300133416933,3395
Adam McKay,3.1135711066448617,4666
James Cameron,3.104924530492342,5139
Stephen Herek,3.0964303424828565,4663
Adam Shankman,2.9721416156807385,2626
Jim Jarmusch,2.9716793048201904,5034
Howard Deutch,2.962842440803363,3589
Barry Levinson,2.9556465806534082,1696
Dwight H. Little,2.9456099677490806,1696
Alan J. Pakula,2.940213497599375,3368
Darren Aronofsky,2.9262073753506344,3395
Terrence Malick,2.912388368903683,3163
Marc Forster,2.866314735305073,1351
Wes Craven,2.857806834268354,3589
John Lee Hancock,2.852940550420809,1509
John G. Avildsen,2.8522916239048057,5034
Mark Waters,2.8490594919181347,4663
Michael Mann,2.846411632829295,2163
Ang Lee,2.846207726177591,4666
Simon West,2.831185558283826,4666
Stephen Daldry,2.8290140374533186,1292
Cameron Crowe,2.823016799418456,5139
Garry Marshall,2.8140064426697537,5222
Brad Bird,2.811987582171215,3578
Zack Snyder,2.801182257596779,3212
Ruben Fleischer,2.79655430048144,4666
Raja Gosnell,2.7767968948430823,5034
Mike Nichols,2.7664568644082848,3578
Roger Donaldson,2.7460348300635884,3433
Wolfgang Petersen,2.743464018298775,3433
Phillip Noyce,2.7335842061047346,4685
William Friedkin,2.7286754746229605,4903
Paul Feig,2.7180745800327752,3163
"Bobby Farrelly, Peter Farrelly",2.710919089089762,1808
Milos Forman,2.702879292157693,1808
James Gunn,2.6988352759451124,1426
David Ayer,2.697503458371986,1220
Francis Ford Coppola,2.6949795355637094,1220
George Miller,2.6761767488657755,4705
Oliver Stone,2.6598221781988896,4705
Robert Rodriguez,2.659216788549816,5181
John Badham,2.6307574245526144,5033
Andrew Davis,2.6196656333003943,1808
Rob Reiner,2.6078820726595175,4903
Anne Fletcher,2.5753232220901405,3059
Louis Leterrier,2.5691731911127462,5033
Scott Derrickson,2.54344925775758,2626
Sean Anders,2.5388577177502967,2132
Matthew Vaughn,2.5315258994512155,2163
Cary Joji Fukunaga,2.51850893263962,5033
Donald Petrie,2.4914031632489517,4685
Harald Zwart,2.490254885881257,3059
Brad Silberling,2.4884292368927543,3059
John Hughes,2.4793795320330774,5034
Jonathan Lynn,2.4741590847198074,5034
Matt Reeves,2.4722141989982105,3478
John McTiernan,2.468909515619609,3589
Frank Marshall,2.4592608383092935,5139
Craig Gillespie,2.459220018781132,1292
Peter Segal,2.4554537537986265,3395
Kevin Smith,2.4534373034800594,5034
Rob Zombie,2.4384008583809234,1351
Joe Dante,2.435943001358598,4663
Taika Waititi,2.435736549380901,2666
David Yates,2.4225375078420757,3478
Sam Raimi,2.418436501149478,3624
Rob Bowman,2.4167221720415304,1292
Denis Villeneuve,2.415882854880485,1426
Michael Apted,2.415579034362682,4685
Edward Zwick,2.4138475851421677,5222
Tony Scott,2.411252385914101,1426
Alan Parker,2.3915767208723984,1509
McG,2.37959775679557,1509
Peter Weir,2.3782938619838783,3578
"Ethan Coen, Joel Coen",2.3766933024828014,3059
Jeff Nichols,2.3745083345489766,4948
Peyton Reed,2.3598882357492883,3368
Roman Polanski,2.354484974757102,5222
Gareth Edwards,2.3470800933063662,1220
Alex Proyas,2.3443870489543874,1280
"Ron Clements, John Musker",2.3389797713316725,2666
Neil LaBute,2.3279546184861144,3395
Jon M. Chu,2.3273160754161557,3433
Nancy Meyers,2.3241081428683743,1280
Mimi Leder,2.3157268428332136,4663
Paul Greengrass,2.3153919058543777,1220
Stephen Sommers,2.307707709775327,1220
Frank Oz,2.303378024819586,1808
Amy Heckerling,2.292492760960279,3500
Sylvester Stallone,2.2904335922245678,1696
James Foley,2.287498862743794,1696
Bill Condon,2.284461072581535,3368
Nicholas Stoller,2.2733405614526414,2666
Baz Luhrmann,2.268169723555838,3589
Sofia Coppola,2.252093880385004,3368
Nick Cassavetes,2.213198620256631,2132
Mike Mitchell,2.1755762049625775,5139
John Singleton,2.1518672318443905,5033
Eli Roth,2.1510797194264084,3663
Thomas Carter,2.1473381149757715,3368
Spike Lee,2.141661908582435,1292
David F. Sandberg,2.138083780907758,3478
Christopher Landon,2.1376582397389954,3123
John Frankenheimer,2.1268312477564195,2132
Mel Gibson,2.1218368785843733,4663
John Hillcoat,2.117410963528899,2132
Renny Harlin,2.1147348825622254,3059
John Dahl,2.114314441567493,4685
Tom McCarthy,2.1063638199314845,3282
